date,Regional Price Parities,msa_state,city,title,id,frequency,seasonal_adjustment
2012-01-01,92.789,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2013-01-01,93.379,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2014-01-01,93.571,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2015-01-01,92.686,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2016-01-01,92.216,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2017-01-01,92.687,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2018-01-01,95.424,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2019-01-01,93.538,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2020-01-01,93.049,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2008-01-01,99.941,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2009-01-01,101.120,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2010-01-01,101.228,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2011-01-01,98.978,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2012-01-01,100.169,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2013-01-01,101.264,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2014-01-01,102.198,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2015-01-01,103.680,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2016-01-01,102.535,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2017-01-01,100.298,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2018-01-01,102.241,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2019-01-01,101.691,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2020-01-01,100.075,TX,Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2008-01-01,95.047,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2009-01-01,99.351,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2010-01-01,96.405,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2011-01-01,101.203,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
