date,All-Transactions House Price Index,msa_state,city,title,id,frequency,seasonal_adjustment
2000-10-01,156.01,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2001-01-01,159.81,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2001-04-01,163.26,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2001-07-01,164.76,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2001-10-01,166.8,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2002-01-01,168.89,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2002-04-01,170.88,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2002-07-01,173.64,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2002-10-01,175.28,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2003-01-01,176.99,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2003-04-01,179.16,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2003-07-01,181.25,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2003-10-01,183.7,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2004-01-01,188.95,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2004-04-01,191.78,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2004-07-01,201.23,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2004-10-01,207.05,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2005-01-01,214.29,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2005-04-01,223.23,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2005-07-01,231.57,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2005-10-01,242.54,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2006-01-01,247.83,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2006-04-01,256.55,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2006-07-01,261.36,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2006-10-01,266.1,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2007-01-01,266.98,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2007-04-01,267.86,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2007-07-01,266.27,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2007-10-01,267.61,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2008-01-01,269.14,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2008-04-01,264.96,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2008-07-01,256.63,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2008-10-01,254.19,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2009-01-01,256.51,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2009-04-01,249.37,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2009-07-01,239.67,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2009-10-01,233.47,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2010-01-01,230.37,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2010-04-01,223.97,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2010-07-01,229.13,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2010-10-01,225.94,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2011-01-01,217.43,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2011-04-01,211.16,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2011-07-01,214.5,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2011-10-01,217.37,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2012-01-01,213.62,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2012-04-01,213.49,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2012-07-01,214.78,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2012-10-01,216.13,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2013-01-01,216.27,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2013-04-01,219.82,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2013-07-01,224.7,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2013-10-01,225.54,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2014-01-01,229.39,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2014-04-01,232.53,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2014-07-01,238.03,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2014-10-01,244.15,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2015-01-01,247.58,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2015-04-01,254.84,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2015-07-01,261.99,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2015-10-01,267.16,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2016-01-01,265.62,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2016-04-01,279.33,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2016-07-01,284.6,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2016-10-01,288.04,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2017-01-01,293.7,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2017-04-01,301.04,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2017-07-01,308.41,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2017-10-01,310.27,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2018-01-01,317.38,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2018-04-01,320.73,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2018-07-01,321.66,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2018-10-01,323.99,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2019-01-01,330.93,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2019-04-01,336.54,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2019-07-01,339.72,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2019-10-01,341.58,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2020-01-01,347.27,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
