date,Combined Violent and Property Crime Offenses,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2016-01-01,165.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2017-01-01,151.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2018-01-01,114.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2019-01-01,100.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2020-01-01,93.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2005-01-01,861.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2006-01-01,796.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2007-01-01,706.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2008-01-01,619.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2009-01-01,605.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2010-01-01,619.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2011-01-01,709.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2012-01-01,594.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
