date,Resident Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1970-01-01,229.903,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1971-01-01,235.900,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1972-01-01,235.800,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1973-01-01,240.900,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1974-01-01,242.100,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1975-01-01,248.000,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1976-01-01,249.000,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1977-01-01,252.100,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1978-01-01,254.800,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1979-01-01,257.100,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1980-01-01,259.530,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1981-01-01,259.063,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1982-01-01,260.232,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1983-01-01,261.573,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1984-01-01,262.931,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1985-01-01,264.364,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1986-01-01,265.492,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1987-01-01,264.626,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1988-01-01,264.575,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1989-01-01,264.823,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1990-01-01,265.981,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1991-01-01,267.800,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1992-01-01,269.753,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1993-01-01,272.523,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1994-01-01,274.855,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1995-01-01,276.649,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1996-01-01,277.714,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1997-01-01,279.082,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1998-01-01,282.044,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1999-01-01,285.265,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2000-01-01,287.350,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2001-01-01,288.562,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2002-01-01,289.948,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2003-01-01,290.662,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2004-01-01,292.649,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2005-01-01,294.636,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2006-01-01,295.927,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2007-01-01,297.005,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2008-01-01,298.747,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2009-01-01,299.959,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2010-01-01,312.497,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2011-01-01,315.448,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2012-01-01,317.201,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2013-01-01,319.29,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2014-01-01,321.12,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2015-01-01,322.938,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2016-01-01,323.231,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2017-01-01,324.6,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2018-01-01,325.656,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2019-01-01,326.352,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
2020-01-01,326.225,NY,New York,Rockland County,NY,"Resident Population in Rockland County, NY",NYROCK5POP,Annual,Not Seasonally Adjusted
1970-01-01,7.046,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1971-01-01,7.400,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1972-01-01,7.700,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1973-01-01,8.900,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1974-01-01,9.600,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1975-01-01,9.600,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1976-01-01,10.200,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1977-01-01,10.900,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
