date,hpi,pred_1,pred_2,pred_3,pred_4,std_1,std_2,std_3,std_4,AIC,pval,naive_1,naive_2,naive_3,naive_4,city,p,d,q
2015-07-01,164.05491046943055,168.42977716039496,162.42825376986286,164.3316550294706,161.03004511757126,2.833303714788697,3.416200456281282,4.457826451533096,5.893525086902994,61.082629740137506,0.41247023321445225,171.04953218261008,159.00603484432972,161.93304081303435,161.65627520567833,Morgantown,3,2,0
2015-10-01,166.6967639941926,169.74829544321133,170.3488336527785,161.49111919159765,164.34782454042676,2.78567078071139,3.8249559081797577,4.723028948222814,6.411398756566376,61.02438119491605,0.32787822559175595,164.05491046943055,171.04953218261008,159.00603484432972,161.93304081303435,Morgantown,3,2,0
2016-01-01,166.36129053073077,174.23616877425934,175.1403724313166,180.11966178830883,165.20885638644813,2.855875777157684,3.1652947515994327,5.250321208329111,7.019112532901848,61.629341346787,0.3551089269787861,166.6967639941926,164.05491046943055,171.04953218261008,159.00603484432972,Morgantown,3,2,0
2016-04-01,166.95675592837554,165.28810281902253,166.77273210464182,169.65080494506438,176.01986177215497,3.5851425978254587,3.3185230511292967,4.568869326463655,7.879680097139896,64.43715853094005,0.49043016474666057,166.36129053073077,166.6967639941926,164.05491046943055,171.04953218261008,Morgantown,3,2,0
2016-07-01,174.16943539280527,166.11448179527218,165.84535958091556,174.22427532159932,179.20541553967948,3.5515550577279007,4.05210920679059,4.592070385837369,6.4336881632572185,64.41042004655284,0.35388937069885684,166.95675592837554,166.36129053073077,166.6967639941926,164.05491046943055,Morgantown,3,2,0
2016-10-01,174.34555896112275,172.35016256348644,167.47696292617442,165.6207739453198,175.9733468364257,4.260800206832647,3.9061159822499114,5.768568651477118,6.6870576324138185,67.53368520064072,0.35624546634045307,174.16943539280527,166.95675592837554,166.36129053073077,166.6967639941926,Morgantown,3,2,0
2017-01-01,169.46442006775283,179.03085204899745,176.9943118957407,166.80199592770057,164.9934342942612,4.188382145936079,5.260268119976078,5.54712298069168,7.807968535422082,67.13813204840599,0.3550636674728411,174.34555896112275,174.16943539280527,166.95675592837554,166.36129053073077,Morgantown,3,2,0
2017-04-01,174.32878528794967,176.32550885801643,182.97210952465696,179.98557640658353,167.18325454968607,4.979021552052249,5.318976783739803,7.691167046865852,7.404342049669296,70.53460511615894,0.2148632844124379,169.46442006775283,174.34555896112275,174.16943539280527,166.95675592837554,Morgantown,3,2,0
2017-07-01,179.11766897886756,172.81639469990748,174.40560417149783,184.61988435326455,180.53779892677613,5.052204667589254,6.0639932858028684,7.998588454867534,10.653454498510783,70.63542755669673,0.25375842513488495,174.32878528794967,169.46442006775283,174.34555896112275,174.16943539280527,Morgantown,3,2,0
2017-10-01,174.06040651718018,176.08862355745865,171.678084128319,173.91670042915212,189.77722352793228,5.285269729775154,6.340800775608809,8.289601047089695,11.09155983226814,71.63330020735393,0.1800442075661361,179.11766897886756,174.32878528794967,169.46442006775283,174.34555896112275,Morgantown,3,2,0
