city,msa_state,date,year,quarter,hpi,weekly_wages,rpp,population,gdp,unemployment_rate,crimes,subprime,poverty,patents,private_establishments,premature_death_rate,snap
Napa,CA,2016-01-01,2016,1,916.8333602193902,967.735434306546,113.581,140.778,75.76005483811392,4.5,2.35121965079771,18.770793206093504,7.9,0.013371073187404783,37.99599369219623,343.4,49.922573129324185
Napa,CA,2016-04-01,2016,2,922.299403129537,1002.92226607659,114.90675,140.538,76.37093882081714,4.3,2.2520599410835502,18.51981148542503,7.625,0.012138228471596126,38.317038808009215,338.59999999999997,48.27164183352545
Napa,CA,2016-07-01,2016,3,949.0893692531052,1045.69384955638,116.2325,140.298,76.98391281415273,4.3,2.152560977348216,18.344827586206897,7.35,0.010901165837758787,38.83162981653338,333.79999999999995,46.615062224693155
Napa,CA,2016-10-01,2016,4,960.97483465075,996.427214852249,117.55825,140.058,77.59898756229563,4.3,2.05272101557926,18.261316872427983,7.075,0.009659863602725931,38.869611161090404,329.0,44.95280526638964
Napa,CA,2017-01-01,2017,1,973.4005484755605,1019.20550643861,118.884,139.818,78.216173883191,4.1,1.9525382997897265,18.144611186903138,6.8,0.008414299934452604,38.41422420575319,324.2,43.28484172281108
Napa,CA,2017-04-01,2017,2,999.9045007259234,1033.64770647745,117.3435,139.51850000000002,78.6792575894953,3.8,1.9943591710059954,18.589634664401014,7.3,0.007167508251593874,39.184767611463705,323.9,42.20587233951053
Napa,CA,2017-07-01,2017,3,1005.5294402322955,1044.37934426063,115.803,139.219,79.14433374754883,3.7,2.0363599796004856,18.512898330804248,7.800000000000001,0.03591463808819199,39.64976044936395,323.6,41.12226061097982
Napa,CA,2017-10-01,2017,4,1020.8788514276496,1049.85924467645,114.26249999999999,138.9195,79.61141524408022,3.5,2.0785418893675836,18.289185085203307,8.3,0.021595240409013852,40.13115509341741,323.3,40.033976511576846
Napa,CA,2018-01-01,2018,1,1028.3152121309888,1070.52552598641,112.722,138.62,80.08051507718945,3.2,2.120906074159573,17.408975444538527,8.8,0.02164189871591401,39.90766123214543,323.0,38.94098975616794
Napa,CA,2018-04-01,2018,2,1048.0183900629133,1061.68389919193,112.42575,138.3845,80.93233888188345,3.0,2.2040040611484666,16.856221354608724,8.450000000000001,0.014452485646875192,40.04061148466772,324.025,39.53296792632123
Napa,CA,2018-07-01,2018,3,1059.7767381835781,1062.2653070018,112.12950000000001,138.149,81.78706686259041,3.0,2.2873853592859885,17.720662833953334,8.100000000000001,0.014477122527126508,40.36221760562871,325.05,40.1269643645629
Napa,CA,2018-10-01,2018,4,1067.4037748023875,1086.18289036295,111.83325,137.9135,82.64471389675413,2.9,2.3710514199117565,17.378821145076845,7.75,0.007250921773430448,40.67767114894481,326.07500000000005,40.72298941002875
Napa,CA,2019-01-01,2019,1,1068.4842716567189,1095.15756783604,111.537,137.678,83.50529496361075,3.0,2.4550037042955304,17.531155271135063,7.4,0.02905329827568675,40.43492787518703,327.1,41.32105347259548
Napa,CA,2019-04-01,2019,2,1075.094370059687,1108.37443269728,111.537,137.678,83.50529496361075,3.0,2.4550037042955304,17.09617652012801,7.4,0.03631662284460843,40.63830096311684,327.1,41.32105347259548
Napa,CA,2019-07-01,2019,3,1081.41845458945,1108.45707987263,111.537,137.678,83.50529496361075,2.9,2.4550037042955304,17.39057521381855,7.4,0.02178997370676506,40.87072734932233,327.1,41.32105347259548
Napa,CA,2019-10-01,2019,4,1087.6789804807227,1115.05482140064,111.537,137.678,83.50529496361075,2.8,2.4550037042955304,17.37458193979933,7.4,0.014526649137843375,41.103153735527826,327.1,41.32105347259548
Ogden,UT,2008-01-01,2008,1,221.60768027101145,667.155846034233,95.789,530.998,37.14726232490517,3.0,3.0678081650025044,27.019637294652085,7.93586529211049,0.020715708910391373,25.80800680981849,251.83576147366819,69.57276675241714
Ogden,UT,2008-04-01,2008,2,220.14645426681724,676.0945789046141,96.50425,533.64075,36.88474924375621,3.1,3.0746340117391706,26.678434310273317,8.287772796396894,0.02436095819144246,25.80575040418109,249.63205506480983,74.43537623391767
Ogden,UT,2008-07-01,2008,3,214.69584933053716,662.967033261135,97.21950000000001,536.2835,36.62482343760344,3.4,3.081392584332727,26.752926959229775,8.639680300683299,0.0074587415051926825,25.794192810332593,247.42834865595145,79.2500608353604
Ogden,UT,2008-10-01,2008,4,216.01791095337958,667.332056765026,97.93475000000001,538.92625,36.367446844535785,3.7,3.0880848724663164,27.1225623370374,8.991587804969702,0.016699873127352768,25.964591630116367,245.22464224709307,84.01752558907643
Ogden,UT,2009-01-01,2009,1,215.0089691885788,675.809545031987,98.65,541.569,36.11258214558072,6.5,3.094711846505247,26.949613935064264,9.343495309256106,0.024004328165016832,25.256246203161556,243.02093583823472,88.73846176572145
Ogden,UT,2009-04-01,2009,2,209.8250959832231,679.669903302087,98.40050000000001,556.1157499999999,35.49294908479036,7.0,3.1099640677323026,26.666922978458555,9.578130405571022,0.028770988773470275,24.62437001649387,243.80705757999456,90.02127704529138
Ogden,UT,2009-07-01,2009,3,203.8062364897564,684.295958364969,98.15100000000001,570.6624999999999,34.90490613979367,7.5,3.1244387006330365,26.93292214943309,9.812765501885938,0.029789937134470906,24.00192758416753,244.5931793217544,91.23869187128996
Ogden,UT,2009-10-01,2009,4,201.394053879658,694.950738440301,97.9015,585.20925,34.34609757108248,7.8,3.1381937315584127,27.004503189946924,10.047400598200854,0.04955492415747017,23.567638413097537,245.37930106351428,92.39558328922519
Ogden,UT,2010-01-01,2010,1,200.76781416357477,679.3878606973619,97.652,599.756,33.81439618778303,7.9,3.1512815211519354,26.84994429080561,10.28203569451577,0.020008136642234508,22.112325679109507,246.16542280527412,93.49635518444168
Ogden,UT,2010-04-01,2010,2,197.10315212130988,695.8367317609441,98.10975,601.23,34.03457869700447,7.9,3.05332401909419,26.47803484644308,10.28728194877776,0.008427168748509998,22.136287277747282,247.1326293641314,93.761538845367
Ogden,UT,2010-07-01,2010,3,198.5643781255041,698.6022429966209,98.5675,602.704,34.25368422973798,7.9,2.9558456555788584,26.821794775283514,10.292528203039753,0.013715964497774473,22.211566540125833,248.0998359229887,94.02542541612468
Ogden,UT,2010-10-01,2010,4,197.32349572511694,715.078898131117,99.02525,604.178,34.47172066841229,8.0,2.8588429237741195,26.80225053813529,10.297774457301745,0.009048106132078074,22.44537205922758,249.06704248184596,94.28802439016316
Ogden,UT,2011-01-01,2011,1,188.17343765123405,692.84887996668,99.483,605.652,34.68869581872098,7.9,2.762312350987035,26.307235884655185,10.303020711563736,0.02586743982793199,21.928434150304135,250.03424904070323,94.5493451685126
Ogden,UT,2011-04-01,2011,2,183.92892402000322,710.338503214277,99.482,607.31575,34.7277758727647,7.7,2.6555379141739697,26.180896551715787,10.260951617614353,0.011306584205442831,21.972096063703273,252.54286919882412,92.4971894768084
Ogden,UT,2011-07-01,2011,3,188.28940796902728,737.635566317024,99.481,608.9795,34.76664239108213,7.2,2.549346899197756,26.026168677728315,10.218882523664972,0.017857743979887663,22.12389743825531,255.051489356945,90.45624688515787
Ogden,UT,2011-10-01,2011,4,188.79967736731732,707.236053158829,99.48,610.6432500000001,34.80529711906255,6.3,2.443734537309632,26.450176463055033,10.17681342971559,0.013919747741418576,22.325637759854054,257.5601095150659,88.4264257403975
Ogden,UT,2012-01-01,2012,1,187.37324245846102,739.025734129254,99.479,612.307,34.84374178312513,5.5,2.338696111591081,25.675985699833966,10.134744335766207,0.01980215806776666,21.819120147246398,260.0687296731868,86.4076353855174
Ogden,UT,2012-04-01,2012,2,185.71486691401836,720.7584220749981,99.038,614.57925,35.149204516748654,5.0,2.3154052142176944,25.42223428581213,10.17295865832872,0.02115268291274071,21.940213568876594,259.91159145375843,84.10672830233041
Ogden,UT,2012-07-01,2012,3,189.02002097112438,718.1045816422479,98.59700000000001,616.8515,35.452416829658354,4.8,2.2922859067376833,25.595683470808943,10.211172980891234,0.014590221471456258,22.066899407718065,259.75445323433013,81.82277257978622
Ogden,UT,2012-10-01,2012,4,191.72212937570575,723.40267187157,98.156,619.12375,35.75340349970422,4.7,2.269336299891581,25.743745245685066,10.249387303453746,0.009691115871423121,22.26533871459462,259.5973150149018,79.55558157799632
Ogden,UT,2013-01-01,2013,1,192.10483142442328,733.265328578463,97.715,621.396,36.05218894231698,4.6,2.246554532053634,25.221200545357473,10.28760162601626,0.012874238006038019,21.918390205279728,259.44017679547346,77.30497138700603
Ogden,UT,2013-04-01,2013,2,196.6276738183578,726.256457526192,97.6795,623.7955,36.26659337875955,4.5,2.198236441269615,24.94441534618437,10.079541644302289,0.01923707368841231,22.098588399563642,260.54588591597104,76.40885514563668
Ogden,UT,2013-07-01,2013,3,199.9560219390224,725.1949548291451,97.644,626.1949999999999,36.479354673863575,4.3,2.150288648104824,24.702424348182923,9.871481662588316,0.2243710026429467,22.226303308074964,261.6515950364686,75.5196065123484
Ogden,UT,2013-10-01,2013,4,201.51002419745117,713.960729060856,97.60849999999999,628.5945,36.69049164445441,4.1,2.1027069120076614,24.626434572725188,9.663421680874345,0.02768080217055669,22.5153099494189,262.75730415696626,74.63714684108753
