date,Estimated Percent of People of All Ages in Poverty,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2002-01-01,9.4,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2003-01-01,10.1,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2004-01-01,10.7,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2005-01-01,11.1,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2006-01-01,12.7,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2007-01-01,10.9,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2008-01-01,12.5,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2009-01-01,11.3,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2010-01-01,12.8,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2011-01-01,11.7,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2012-01-01,13.0,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2013-01-01,13.2,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2014-01-01,14.6,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2015-01-01,14.2,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2016-01-01,10.5,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2017-01-01,12,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2018-01-01,9.8,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2019-01-01,10.6,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2020-01-01,9.1,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1989-01-01,3.9,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1993-01-01,5.7,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1995-01-01,4.6,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1997-01-01,5.3,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
